"","firm","culture","tenure","employments","sim_no","var_win","cond"
"57",2,0.54789121684445,15.8118185384112,2,1,0.1,1
"58",2,0.388351356293113,19.3128967042567,2,1,0.1,1
"59",2,0.287365816663515,24.9095059789446,1,1,0.1,1
"60",2,0.33909164184662,17.8279534847935,2,1,0.1,1
"61",3,-0.299354825095427,17.4718921459473,3,1,0.1,1
"62",3,-0.213240375232802,5.16491287848826,2,1,0.1,1
"63",3,-0.306641262177122,51.7492460191724,2,1,0.1,1
"64",3,-0.456030527436257,46.3245034642321,1,1,0.1,1
"65",3,-0.466091941432027,4.631234803669,1,1,0.1,1
"66",3,-0.367652039647007,14.2884226929672,1,1,0.1,1
"67",3,-0.587942517025405,2.5662883837343,1,1,0.1,1
"68",3,-0.471381200231265,2.58486386536101,1,1,0.1,1
"69",3,-0.57598456328892,4.74929009040526,1,1,0.1,1
"70",3,-0.701846311556113,65.1637683133061,1,1,0.1,1
"71",3,-0.665016021986458,3.95560565486571,1,1,0.1,1
"72",3,-0.366547615371432,8.09219310153416,1,1,0.1,1
"73",3,-0.438744064752836,119.506939137569,2,1,0.1,1
"74",3,-0.564065230648767,51.9789530904196,1,1,0.1,1
"75",3,-0.486046629642653,14.1616295136206,1,1,0.1,1
"76",3,-0.445104730842484,6.27391674536345,1,1,0.1,1
"77",3,-0.206384429364478,35.0958172279019,1,1,0.1,1
"78",3,-0.461781222710858,18.2654484968761,2,1,0.1,1
"79",3,-0.509697069946797,9.7215207091598,2,1,0.1,1
"80",3,-0.303119344005914,3.51325109868857,2,1,0.1,1
"81",3,-0.540793236183425,44.8817867052507,2,1,0.1,1
"82",3,-0.517107559580714,96.0171370758631,1,1,0.1,1
"83",3,-0.477660935067367,34.4097964886904,2,1,0.1,1
"84",3,-0.381283404915584,13.7986614217136,3,1,0.1,1
"85",3,-0.618678771442223,11.7618127826754,3,1,0.1,1
"86",3,-0.502059094046384,10.6089025471065,1,1,0.1,1
"87",3,-0.482575947056476,13.8232417622614,1,1,0.1,1
"88",3,-0.55685364223871,4.71081153955383,1,1,0.1,1
"89",3,-0.394386927642788,7.90656302473675,1,1,0.1,1
"90",3,-0.513976416216103,6.99869786005793,3,1,0.1,1
"91",4,0.886615181097713,26.041554424765,2,1,0.1,1
"92",4,0.89421704431575,49.8766626448904,1,1,0.1,1
"93",4,0.842135004654497,8.93135865621022,1,1,0.1,1
"94",4,0.81550315148764,7.45447339039236,3,1,0.1,1
"95",4,0.695884499125326,58.4398149224322,2,1,0.1,1
"96",4,0.752718176038426,20.7508137964408,1,1,0.1,1
"97",4,0.750396378965719,23.0590247384727,3,1,0.1,1
"98",4,0.763495862403271,2.45027158190088,3,1,0.1,1
"99",4,0.954000651809948,68.5489632293556,1,1,0.1,1
"100",4,0.757770704149333,4.66642792187697,1,1,0.1,1
"101",4,0.710506816760009,45.4318744019183,2,1,0.1,1
"102",4,0.500179143171043,8.00679650006893,2,1,0.1,1
"103",4,0.903598206670045,37.0041701911969,2,1,0.1,1
"104",4,0.865427312413795,4.92587298220761,3,1,0.1,1
"105",4,0.872098763976859,0.864101440570207,1,1,0.1,1
"106",4,0.867983789661442,10.8264074034848,1,1,0.1,1
"107",4,0.857252822937937,3.22510382557957,1,1,0.1,1
"108",4,0.738097650562471,10.0756855540366,1,1,0.1,1
"109",4,0.984058707868662,4.56444940527422,1,1,0.1,1
"110",4,0.742421648405604,10.9030219711465,3,1,0.1,1
"111",4,0.865180935569544,38.0604462649767,1,1,0.1,1
"112",4,0.757489469776714,3.20459107975713,1,1,0.1,1
"113",4,0.586786499985181,9.31726812670063,1,1,0.1,1
"114",4,0.694814671099291,45.2594662533373,1,1,0.1,1
"115",4,0.697195499491471,3.78015578502341,1,1,0.1,1
"116",4,0.757174042003925,153.033742811869,3,1,0.1,1
"117",4,0.850288175001119,132.206315788536,1,1,0.1,1
"118",4,0.751393038275482,14.7829624606263,1,1,0.1,1
"119",4,0.954537029592385,19.2826703635144,1,1,0.1,1
"120",4,0.929318407099294,5.50862341049758,1,1,0.1,1
"121",5,0.162404208331583,3.80889848989533,1,1,0.1,1
"122",5,0.048581361674015,2.69813236862706,1,1,0.1,1
"123",5,0.00625762926306549,1.16679488275676,3,1,0.1,1
"124",5,0.164032320908478,69.0580965082351,2,1,0.1,1
"125",5,0.0438026303897186,1.82767803775301,2,1,0.1,1
"126",5,0.156975727089701,15.8569170969831,2,1,0.1,1
"127",5,0.080873919613347,75.8603919192321,2,1,0.1,1
"128",5,0.00176952629005051,20.2690719471827,2,1,0.1,1
"129",5,-0.06820335650681,19.1886566692411,2,1,0.1,1
"130",5,0.0525126532107876,5.3282624398089,2,1,0.1,1
"131",5,0.201452222562223,8.72188147969158,1,1,0.1,1
"132",5,0.0241345249294688,38.5176215735613,2,1,0.1,1
"133",5,-0.199252731892685,22.01567873517,2,1,0.1,1
"134",5,-0.100635793361451,1.49631669110693,2,1,0.1,1
"135",5,0.170504434522786,6.51606661434273,1,1,0.1,1
"136",5,-0.0599702056419749,2.9996078893083,1,1,0.1,1
"137",5,0.0233092950411536,4.33916353024137,2,1,0.1,1
"138",5,0.155081561007774,8.62729749183788,2,1,0.1,1
"139",5,0.0352734215212324,4.9401579896345,1,1,0.1,1
"140",5,0.0461388438761071,12.0981822009262,2,1,0.1,1
"141",5,0.184627414418677,16.9472885376508,1,1,0.1,1
"142",5,0.0911169480888302,39.5951778445015,1,1,0.1,1
"143",5,0.107107693252043,6.34414989549656,2,1,0.1,1
"144",5,-0.0257345345959093,8.58182060293277,2,1,0.1,1
"145",5,0.0602005630036253,7.57529745983836,3,1,0.1,1
"146",5,0.0854902605207433,10.2668348173399,2,1,0.1,1
"147",5,0.0476465566864587,1.49047701736871,1,1,0.1,1
"148",5,0.16052928335236,7.38998989740861,1,1,0.1,1
"149",5,0.0519548392180086,8.73673812613796,2,1,0.1,1
"150",5,-0.0679901530577558,9.66947260785792,1,1,0.1,1
"151",6,-0.0764906345489196,15.750175268342,1,1,0.1,1
"152",6,-0.137950223409091,31.0155533378434,1,1,0.1,1
"153",6,-0.0780970838610458,15.2000293204551,1,1,0.1,1
"154",6,0.0537789115797816,11.9135134409732,2,1,0.1,1
"155",6,0.0196480008690266,8.15804629440283,1,1,0.1,1
"156",6,-0.242584212194992,10.4800063342076,2,1,0.1,1
"157",6,-0.101798946136959,6.83126425824065,1,1,0.1,1
"158",6,0.109156075229929,24.4818238671121,2,1,0.1,1
"159",6,-0.173965513198713,10.2823924072276,2,1,0.1,1
"160",6,0.0490706776557216,2.0138342415963,2,1,0.1,1
"161",6,0.181696308838405,96.7369363365621,2,1,0.1,1
"162",6,-0.241768571522718,19.3045843116784,2,1,0.1,1
"163",6,0.0991714109442814,10.2613104286431,3,1,0.1,1
"164",6,-0.306483844704388,14.9889134254195,2,1,0.1,1
"165",6,-0.15955706500075,27.7223061424972,1,1,0.1,1
"166",6,-0.136816153808343,20.4097354934897,1,1,0.1,1
"167",6,-0.00638190006583743,22.5414981954226,2,1,0.1,1
"168",6,-0.103970033075082,8.86240508059441,2,1,0.1,1
"169",6,-0.0247653511309573,29.7007243117881,1,1,0.1,1
"170",6,0.00692347057930075,2.90208774006877,1,1,0.1,1
"171",6,0.0188539902984018,28.0420775785388,1,1,0.1,1
"172",6,-0.287764931457099,2.1358617739778,1,1,0.1,1
"173",6,0.0856384795427062,30.6272516800675,1,1,0.1,1
"174",6,0.0352263362650704,15.0529707230213,1,1,0.1,1
"175",6,-0.181892064315196,24.7593674519439,4,1,0.1,1
"176",6,0.0599461009592166,6.68173337161466,2,1,0.1,1
"177",6,-0.0475286119718161,7.45449701177832,2,1,0.1,1
"178",6,0.0227798546699285,24.1270986939878,1,1,0.1,1
"179",6,-0.0714793585513418,1.84761300492856,1,1,0.1,1
"180",6,-0.121642159635235,8.78348231507524,1,1,0.1,1
"181",7,0.339531129960398,11.2948844748914,2,1,0.1,1
"182",7,0.543597015931152,7.16084841176054,2,1,0.1,1
"183",7,0.493722768064133,11.7020573833382,2,1,0.1,1
"184",7,0.524184601761289,3.75040201709046,1,1,0.1,1
"185",7,0.299765964421996,8.93093885496639,1,1,0.1,1
"186",7,0.342567280491538,3.65554622021704,1,1,0.1,1
"187",7,0.540652224188392,7.5044487662046,3,1,0.1,1
"188",7,0.555734534803286,7.03617219174483,1,1,0.1,1
"189",7,0.386071867645238,7.4197651482595,2,1,0.1,1
"190",7,0.324373694958139,11.8462665997953,2,1,0.1,1
"191",7,0.567764465634334,2.02687743794872,1,1,0.1,1
"192",7,0.320223230165127,17.5659129327908,2,1,0.1,1
"193",7,0.455173756149539,64.2455685486872,1,1,0.1,1
"194",7,0.552796612178641,6.06775771444952,1,1,0.1,1
"195",7,0.452151382222761,47.2368327222522,2,1,0.1,1
"196",7,0.415254253005335,7.20729915398484,1,1,0.1,1
"197",7,0.612473778032613,16.0630397160644,1,1,0.1,1
"198",7,0.416889368033853,5.01014447450618,1,1,0.1,1
"199",7,0.636610123123882,99.6322739327398,1,1,0.1,1
"200",7,0.532078105529037,16.6720437708983,1,1,0.1,1
"201",7,0.318510140821493,15.4625559743377,1,1,0.1,1
"202",7,0.518884932492104,4.84269663520655,1,1,0.1,1
"203",7,0.608469707731369,4.39625140610512,3,1,0.1,1
"204",7,0.423128945814563,13.3000806513099,1,1,0.1,1
"205",7,0.641055073189326,16.2548278442262,2,1,0.1,1
"206",7,0.29494566422116,28.5069307925283,1,1,0.1,1
"207",7,0.581302503361592,2.66669875533889,1,1,0.1,1
"208",7,0.382773221285334,20.7649529054406,2,1,0.1,1
"209",7,0.416806330208375,33.4143719984813,2,1,0.1,1
"210",7,0.416718560657166,24.3913404236129,1,1,0.1,1
"211",8,-0.762467407935884,20.1616906045516,1,1,0.1,1
"212",8,-0.932198212906127,4.16817583902455,2,1,0.1,1
"213",8,-0.708340507279879,3.18557897821921,1,1,0.1,1
"214",8,-0.968767970975979,10.6134921527049,1,1,0.1,1
"215",8,-0.985678996983779,17.6989357442278,2,1,0.1,1
"216",8,-0.939482825302298,18.7411138657913,1,1,0.1,1
"217",8,-0.912784850122981,2.17612790309576,1,1,0.1,1
"218",8,-0.882483502178888,2.59390412265663,2,1,0.1,1
"219",8,-0.772546670099191,42.4190719617281,1,1,0.1,1
"220",8,-0.774217722532215,6.7600741599458,2,1,0.1,1
"221",8,-0.985494560322193,15.8123120582287,1,1,0.1,1
"222",8,-0.86067866807023,11.2850212525182,2,1,0.1,1
"223",8,-0.779257451117243,4.16923556610207,2,1,0.1,1
"224",8,-0.826294983679415,9.61509707646847,3,1,0.1,1
"225",8,-0.914744599543423,26.7116279514879,1,1,0.1,1
"226",8,-0.648796990228754,9.47213920427011,2,1,0.1,1
"227",8,-0.861487811989458,1.54462122026484,2,1,0.1,1
"228",8,-0.914174954479074,4.81421697835928,2,1,0.1,1
"229",8,-0.817336693210301,12.2033782906938,2,1,0.1,1
"230",8,-0.830546523959701,2.9241845295342,1,1,0.1,1
"231",8,-0.816600421272862,54.8691883433505,1,1,0.1,1
"232",8,-0.784882464747524,27.4744858521556,1,1,0.1,1
"233",8,-0.938316568753689,16.4571447438161,2,1,0.1,1
"234",8,-0.772052342169305,35.3777415788836,2,1,0.1,1
"235",8,-0.864186572459157,12.069211762412,2,1,0.1,1
"236",8,-0.956624199749704,13.0995217277186,1,1,0.1,1
"237",8,-0.871057251863144,70.5447252080022,2,1,0.1,1
"238",8,-0.800213162011087,1.31119132624709,1,1,0.1,1
"239",8,-0.891517856955062,24.4802197096221,2,1,0.1,1
"240",8,-0.753341549116862,15.9745658445153,3,1,0.1,1
"241",9,-0.253639206644732,14.0426403241354,2,1,0.1,1
"242",9,-0.351562254157258,36.5315805601416,1,1,0.1,1
"243",9,-0.0902682448720423,3.39714899589998,1,1,0.1,1
"244",9,-0.3311099170068,25.1847619994666,2,1,0.1,1
"245",9,-0.260409745639439,18.5081914210486,2,1,0.1,1
"246",9,-0.377247400494699,45.9022779928466,1,1,0.1,1
"247",9,-0.11096706385536,26.9628487064415,1,1,0.1,1
"248",9,-0.105839295897841,4.17315601105576,2,1,0.1,1
"249",9,-0.211948943737615,4.98085720044305,1,1,0.1,1
"250",9,-0.323056613816999,63.0512114318948,2,1,0.1,1
"251",9,-0.164628463531996,20.6588469561007,2,1,0.1,1
"252",9,-0.335364724623367,17.7295755971461,2,1,0.1,1
"253",9,-0.275001181398188,47.1510351348832,1,1,0.1,1
"254",9,-0.363017896449416,10.8798585800636,1,1,0.1,1
