"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","optimize","cond","rep_no","b1","b2","b3","r0","r1","r2","s0","s1"
"1",1.06465620206696,0.0969111167769423,1.05776917162383,0.0326840305536135,0.0340220385674931,0.68935797547642,22,3,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.1
"2",1.06465620206696,0.0969111167769423,1.05051747790051,0.0483641574012033,0.0385215794306703,0.851134223312501,19,5,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.2
"3",1.06465620206696,0.0969111167769423,1.02231409841522,0.0713282657719639,0.0433333333333333,0.91297195518058,18,6,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.3
"4",1.06465620206696,0.0969111167769423,0.922123017160211,0.137930516350852,0.0491460055096419,0.936830708435857,13,6,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.4
"5",1.06465620206696,0.0969111167769423,0.898690689771355,0.103579886037912,0.0513131313131313,0.952891222456435,15,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.5
"6",1.06465620206696,0.0969111167769423,0.839174215921763,0.139815090568845,0.0507988980716253,0.956368234794981,16,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.6
"7",1.06465620206696,0.0969111167769423,0.530695314316086,0.351479853181398,0.0567309458218549,0.959439099441832,12,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.7
"8",1.06465620206696,0.0969111167769423,0.117139087321808,0.219499555597303,0.0591643709825528,0.966507125395727,11,8,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.8
"9",1.06465620206696,0.0969111167769423,0.0713536632783334,0.14758587069847,0.0591000918273646,0.966152966900803,12,8,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.9
"10",1.06465620206696,0.0969111167769423,0.0558257301302369,0.125339972215382,0.056831955922865,0.963700954639753,15,8,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"11",1.06465620206696,0.0969111167769423,0.0396526252183171,0.117248976241549,0.0556198347107438,0.973107888164384,14.5,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.1
"12",1.06465620206696,0.0969111167769423,0.0385497635956332,0.110134601778006,0.0552249770431589,0.972801351773058,15,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.2
"13",1.06465620206696,0.0969111167769423,0.0380243189196335,0.095104684961858,0.0547291092745638,0.968161222685699,14,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.3
"14",1.06465620206696,0.0969111167769423,0.0348498247504438,0.0953906815784189,0.054297520661157,0.972354114866565,16,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.4
"15",1.06465620206696,0.0969111167769423,0.0295383203414343,0.127510259666296,0.054435261707989,0.963843213025739,16,7,0,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.5
"16",1.06465620206696,0.0969111167769423,1.0635121419113,0.0310839438485126,0.0341689623507805,0.681463119755567,20.5,3,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.1
"17",1.06465620206696,0.0969111167769423,1.03708289780371,0.0401311810415124,0.0386409550045914,0.861046623082217,18,5,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.2
"18",1.06465620206696,0.0969111167769423,1.01025347276246,0.0868648509755712,0.0453810835629017,0.911857964515945,16,6,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.3
"19",1.06465620206696,0.0969111167769423,0.968373075000123,0.143604134574348,0.0490266299357208,0.924455668619618,14,6,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.4
"20",1.06465620206696,0.0969111167769423,0.848452219896311,0.126319272789345,0.0519100091827365,0.951715410630375,15,7,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.5
"21",1.06465620206696,0.0969111167769423,0.798994316539445,0.196854436906639,0.0541505968778696,0.957006018860553,14,7,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.6
"22",1.06465620206696,0.0969111167769423,0.694671055368158,0.331867149966908,0.0551239669421488,0.95893430236482,12,7,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.7
"23",1.06465620206696,0.0969111167769423,0.0880909623928506,0.197891841911561,0.0591643709825528,0.96367340600287,10,8,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.8
"24",1.06465620206696,0.0969111167769423,0.0872908362811823,0.168862617568735,0.0577685950413223,0.963910864566537,12,8,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,0.9
"25",1.06465620206696,0.0969111167769423,0.0522745862910617,0.127537184698489,0.0575114784205693,0.967180408803208,14,8,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"26",1.06465620206696,0.0969111167769423,0.0526824558014054,0.129322739410642,0.0561248852157943,0.970057083562,15,8,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.1
"27",1.06465620206696,0.0969111167769423,0.0411778587265459,0.123595413623245,0.0550596877869605,0.967544444734016,16,7,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.2
"28",1.06465620206696,0.0969111167769423,0.0284959659719134,0.0904417250694813,0.0547658402203857,0.969618336811727,17,7,0,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1.3
