"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","r0","r1","r2","s0","s1"
"1",1.06465620206696,0.0969111167769423,0.370202323723921,0.922276953032559,0.0674196510560147,0.965208020611295,9,9,1,1,0,0.3,0.1,0.03,0.1,0.05,0.03,1
"2",1.06465620206696,0.0969111167769423,0.150406449976721,0.375169316018039,0.0648852157943067,0.967602747314258,10,8,1,1,0.1,0.3,0.1,0.03,0.1,0.05,0.03,1
"3",1.06465620206696,0.0969111167769423,0.0703398840251407,0.181200704382396,0.0600367309458219,0.969644011454,12,8,1,1,0.2,0.3,0.1,0.03,0.1,0.05,0.03,1
"4",1.06465620206696,0.0969111167769423,0.0541265528835465,0.122569023265938,0.0564462809917355,0.970586377477182,15,8,1,1,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"5",1.06465620206696,0.0969111167769423,0.0770378223595318,0.122193241326866,0.0560973370064279,0.967195906657488,14,7,1,1,0.4,0.3,0.1,0.03,0.1,0.05,0.03,1
"6",1.06465620206696,0.0969111167769423,0.13061628448975,0.146052160601815,0.0542148760330579,0.967175126700949,13.5,7,1,1,0.5,0.3,0.1,0.03,0.1,0.05,0.03,1
"7",1.06465620206696,0.0969111167769423,0.324888894216496,0.22856635731132,0.0512947658402204,0.969521234006853,13,7,1,1,0.6,0.3,0.1,0.03,0.1,0.05,0.03,1
"8",1.06465620206696,0.0969111167769423,0.632127745068684,0.269709258889465,0.0469421487603306,0.961323848023779,14,6,1,1,0.7,0.3,0.1,0.03,0.1,0.05,0.03,1
"9",1.06465620206696,0.0969111167769423,0.867237630193567,0.267542119147045,0.0421671258034894,0.961849702895468,16,6,1,1,0.8,0.3,0.1,0.03,0.1,0.05,0.03,1
"10",1.06465620206696,0.0969111167769423,0.938734794886653,0.244652828299268,0.0392929292929293,0.958074203957884,17,5,1,1,0.9,0.3,0.1,0.03,0.1,0.05,0.03,1
"11",1.06465620206696,0.0969111167769423,0.993096746266895,0.212494230156238,0.0382920110192837,0.957552555535758,18,5,1,1,1,0.3,0.1,0.03,0.1,0.05,0.03,1
"12",1.06465620206696,0.0969111167769423,0.346771988986458,0.927848598630083,0.0668962350780533,0.966412799019065,9,9,1,2,0,0.3,0.1,0.03,0.1,0.05,0.03,1
"13",1.06465620206696,0.0969111167769423,0.114567080075202,0.363018915172991,0.0639944903581267,0.968896057251079,10,8,1,2,0.1,0.3,0.1,0.03,0.1,0.05,0.03,1
"14",1.06465620206696,0.0969111167769423,0.0734327711904722,0.182374578973706,0.0586409550045914,0.968842696681387,13,8,1,2,0.2,0.3,0.1,0.03,0.1,0.05,0.03,1
"15",1.06465620206696,0.0969111167769423,0.0584377819104758,0.130240560318035,0.0560514233241506,0.964690683520892,13,7,1,2,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"16",1.06465620206696,0.0969111167769423,0.0858272349559115,0.122761901483029,0.0553535353535354,0.96921194758886,14,8,1,2,0.4,0.3,0.1,0.03,0.1,0.05,0.03,1
"17",1.06465620206696,0.0969111167769423,0.176004584793037,0.154745546397169,0.0547933884297521,0.966883277396979,14,7,1,2,0.5,0.3,0.1,0.03,0.1,0.05,0.03,1
"18",1.06465620206696,0.0969111167769423,0.340354812151369,0.227128280274306,0.0524426078971534,0.967929864296908,13,7,1,2,0.6,0.3,0.1,0.03,0.1,0.05,0.03,1
"19",1.06465620206696,0.0969111167769423,0.613361437334212,0.281960293822743,0.0471808999081726,0.965367256951407,12.5,6,1,2,0.7,0.3,0.1,0.03,0.1,0.05,0.03,1
"20",1.06465620206696,0.0969111167769423,0.847422145081658,0.262319317504857,0.042415059687787,0.960442598403224,14,6,1,2,0.8,0.3,0.1,0.03,0.1,0.05,0.03,1
"21",1.06465620206696,0.0969111167769423,0.939881987213959,0.238387064849418,0.0404775022956841,0.958657871026071,19,5,1,2,0.9,0.3,0.1,0.03,0.1,0.05,0.03,1
"22",1.06465620206696,0.0969111167769423,0.994318812582638,0.240568711342991,0.0371808999081726,0.955285359180308,17,5,1,2,1,0.3,0.1,0.03,0.1,0.05,0.03,1
"23",1.06465620206696,0.0969111167769423,0.365664986366297,0.949490568570487,0.0678328741965106,0.964261158899161,9,9,1,3,0,0.3,0.1,0.03,0.1,0.05,0.03,1
"24",1.06465620206696,0.0969111167769423,0.133161218521326,0.364954767736084,0.0643985307621671,0.968404191487774,10,9,1,3,0.1,0.3,0.1,0.03,0.1,0.05,0.03,1
"25",1.06465620206696,0.0969111167769423,0.0739687749606358,0.164222980332665,0.0603673094582185,0.968876569184699,12,8,1,3,0.2,0.3,0.1,0.03,0.1,0.05,0.03,1
"26",1.06465620206696,0.0969111167769423,0.0591017192185074,0.131381080569442,0.0576859504132231,0.967785604490794,13,8,1,3,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"27",1.06465620206696,0.0969111167769423,0.0774603886148194,0.121498193863044,0.0552984389348026,0.964368318167045,14.5,7,1,3,0.4,0.3,0.1,0.03,0.1,0.05,0.03,1
"28",1.06465620206696,0.0969111167769423,0.178616763707682,0.177523684781864,0.0541689623507805,0.964687723042184,12,7,1,3,0.5,0.3,0.1,0.03,0.1,0.05,0.03,1
"29",1.06465620206696,0.0969111167769423,0.314586016102642,0.201640434327529,0.0528282828282828,0.966836525610384,13.5,7,1,3,0.6,0.3,0.1,0.03,0.1,0.05,0.03,1
"30",1.06465620206696,0.0969111167769423,0.582081365083758,0.262464365945781,0.0486593204775023,0.969694764293434,14,7,1,3,0.7,0.3,0.1,0.03,0.1,0.05,0.03,1
"31",1.06465620206696,0.0969111167769423,0.824307909623426,0.259785479637878,0.0432598714416896,0.963235032294813,14,6,1,3,0.8,0.3,0.1,0.03,0.1,0.05,0.03,1
"32",1.06465620206696,0.0969111167769423,0.925627561584949,0.235501209617017,0.0400826446280992,0.95992736523603,17,5,1,3,0.9,0.3,0.1,0.03,0.1,0.05,0.03,1
"33",1.06465620206696,0.0969111167769423,1.00240048947858,0.210375443449682,0.0367768595041322,0.959693073581898,20,5,1,3,1,0.3,0.1,0.03,0.1,0.05,0.03,1
"34",1.06465620206696,0.0969111167769423,0.312832293102839,0.917138074717039,0.0672359963269054,0.967228085999911,9,9,1,4,0,0.3,0.1,0.03,0.1,0.05,0.03,1
"35",1.06465620206696,0.0969111167769423,0.135473221677794,0.36231106928021,0.0665197428833792,0.969475531161876,10,9,1,4,0.1,0.3,0.1,0.03,0.1,0.05,0.03,1
"36",1.06465620206696,0.0969111167769423,0.0713469301868708,0.168623019819802,0.0603948576675849,0.966422472702181,14,8,1,4,0.2,0.3,0.1,0.03,0.1,0.05,0.03,1
"37",1.06465620206696,0.0969111167769423,0.0675697943456301,0.122711367260664,0.0559871441689624,0.967518781340894,14,7,1,4,0.3,0.3,0.1,0.03,0.1,0.05,0.03,1
"38",1.06465620206696,0.0969111167769423,0.102887713076102,0.132113015123255,0.0549219467401286,0.962594656978986,14,7,1,4,0.4,0.3,0.1,0.03,0.1,0.05,0.03,1
"39",1.06465620206696,0.0969111167769423,0.145997947315653,0.168072127357813,0.056198347107438,0.964177956099449,12,7,1,4,0.5,0.3,0.1,0.03,0.1,0.05,0.03,1
