"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","r0","r1","r2","select","s0","s1"
"1",0.813944695814484,0.0985080765618315,0.806211325852287,0.0562825748642291,0.00874196510560147,0.463237255663726,103,2,1,1,0,0.3,0.1,0,0.1,0.05,1,0,0.1
"2",0.813944695814484,0.0985080765618315,0.778825307081038,0.272292161535287,0.0139393939393939,0.950538711553611,91,3,1,1,0,0.3,0.1,0,0.1,0.05,1,0,1
"3",0.813944695814484,0.0985080765618315,0.700087917765489,0.743366570038064,0.0150505050505051,0.988456470680735,78.5,3,1,1,0,0.3,0.1,0,0.1,0.05,1,0,10
"4",0.813944695814484,0.0985080765618315,0.805677596865625,0.0576259516016427,0.00891643709825528,0.437172074464064,102,2,1,1,0,0.3,0.1,0,0.1,0.05,1,0.03,0.1
"5",0.813944695814484,0.0985080765618315,0.709817499487612,0.252465438409212,0.01366391184573,0.925426003627436,85,2,1,1,0,0.3,0.1,0,0.1,0.05,1,0.03,1
"6",0.813944695814484,0.0985080765618315,0.695873441984381,1.14441621141877,0.0144811753902663,0.962014690641441,84,3,1,1,0,0.3,0.1,0,0.1,0.05,1,0.03,10
"7",0.813944695814484,0.0985080765618315,0.812909612490714,0.0578453983533524,0.00907254361799816,0.450834665742754,101,2,1,1,0,0.3,0.1,0,0.1,0.05,1,0.06,0.1
"8",0.813944695814484,0.0985080765618315,0.662219407141249,0.280804945588001,0.0144260789715335,0.905314402911741,87.5,3,1,1,0,0.3,0.1,0,0.1,0.05,1,0.06,1
"9",0.813944695814484,0.0985080765618315,0.683264606212242,1.50114489401881,0.0151515151515152,0.936976488996613,86,3,1,1,0,0.3,0.1,0,0.1,0.05,1,0.06,10
"10",0.813944695814484,0.0985080765618315,0.804056610095643,0.0581756671986946,0.00860422405876951,0,104,2,1,1,0,0.3,0.1,0,0.1,0.05,1,1,0.1
"11",0.813944695814484,0.0985080765618315,0.815056501807809,0.663817006387181,0.0206427915518825,0,56,1.5,1,1,0,0.3,0.1,0,0.1,0.05,1,1,1
"12",0.813944695814484,0.0985080765618315,1.15831730932126,8.07933407776095,0.0251515151515152,0,35.5,1,1,1,0,0.3,0.1,0,0.1,0.05,1,1,10
"13",0.813944695814484,0.0985080765618315,0.811366732770547,0.0967043417158339,0.000303030303030303,0,42.7082008505597,1,1,1,0,0.3,0.1,0,1,0.05,1,0,0.1
"14",0.813944695814484,0.0985080765618315,0.814592856940006,0.146444525090565,0.000440771349862259,0.15,51.6016564638793,1,1,1,0,0.3,0.1,0,1,0.05,1,0,1
"15",0.813944695814484,0.0985080765618315,0.811357558745462,0.524428297652793,0.000771349862258953,0.354166666666667,67.6895937353042,1.5,1,1,0,0.3,0.1,0,1,0.05,1,0,10
"16",0.813944695814484,0.0985080765618315,0.812704163259011,0.0957348987201335,0.000211202938475666,0,32.834952426468,1,1,1,0,0.3,0.1,0,1,0.05,1,0.03,0.1
"17",0.813944695814484,0.0985080765618315,0.815608695116663,0.140831702940902,0.000404040404040404,0.180555555555556,47.7082008505597,1,1,1,0,0.3,0.1,0,1,0.05,1,0.03,1
"18",0.813944695814484,0.0985080765618315,0.811500832734117,0.839912079755642,0.000661157024793388,0.253086419753086,65.7380785502284,1,1,1,0,0.3,0.1,0,1,0.05,1,0.03,10
"19",0.813944695814484,0.0985080765618315,0.814423490407023,0.0971993504100067,0.000183654729109275,0,31.8789098358938,1,1,1,0,0.3,0.1,0,1,0.05,1,0.06,0.1
"20",0.813944695814484,0.0985080765618315,0.81143001899808,0.132388151126156,0.000486685032139578,0.130434782608696,57.7380785502284,1,1,1,0,0.3,0.1,0,1,0.05,1,0.06,1
"21",0.813944695814484,0.0985080765618315,0.81169267071673,0.563221912588046,0.000633608815426997,0.265625,59.7833539961895,1,1,1,0,0.3,0.1,0,1,0.05,1,0.06,10
"22",0.813944695814484,0.0985080765618315,0.813740463005829,0.0970117138731922,0.000192837465564738,0,30.663343100425,1,1,1,0,0.3,0.1,0,1,0.05,1,1,0.1
"23",0.813944695814484,0.0985080765618315,0.810891978294012,0.140132297811217,0.000293847566574839,0,39.7833539961895,1,1,1,0,0.3,0.1,0,1,0.05,1,1,1
"24",0.813944695814484,0.0985080765618315,0.810671607024264,1.01762170111195,0.00121212121212121,0,92.6016564638793,1,1,1,0,0.3,0.1,0,1,0.05,1,1,10
"25",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0,0.3,0.1,0,10,0.05,1,0,0.1
"26",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0,0.3,0.1,0,10,0.05,1,0,1
"27",0.813944695814484,0.0985080765618315,0.813998356644002,0.101182776789595,3.67309458218549e-05,0,16.1106080921074,1,1,1,0,0.3,0.1,0,10,0.05,1,0,10
"28",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0,0.3,0.1,0,10,0.05,1,0.03,0.1
"29",0.813944695814484,0.0985080765618315,0.813944695814484,0.0985080765618315,0,NA,12.1106080921074,1,1,1,0,0.3,0.1,0,10,0.05,1,0.03,1
"30",0.813944695814484,0.0985080765618315,0.813944695814484,0.19186074229202,2.75482093663912e-05,0,15.1005274867758,1,1,1,0,0.3,0.1,0,10,0.05,1,0.03,10
