"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","r0","r1","r2","s0","s1"
"1",1.06465620206696,0.0969111167769423,0.997464446838735,0.330222166370318,0.0166299357208448,0.94177929206925,78.5,3,1,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"2",1.06465620206696,0.0969111167769423,0.00465110815916287,0.0803501474208967,0.115381083562902,0.972413296054111,6,14,1,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"3",1.06465620206696,0.0969111167769423,0.931117345100443,0.316343014568632,0.0163911845730028,0.93387498300689,80.5,3,1,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"4",1.06465620206696,0.0969111167769423,0.00480100099768141,0.0923843394927,0.117346189164371,0.969199160205403,7,13,1,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"5",1.06465620206696,0.0969111167769423,0.92548593773199,0.318461202583025,0.0162075298438935,0.941079925848569,84.5,2,1,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"6",1.06465620206696,0.0969111167769423,0.00496162047087216,0.0824534547626099,0.119559228650138,0.96947464525074,6,14,1,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"7",1.06465620206696,0.0969111167769423,0.949942450691659,0.306577100566511,0.0159228650137741,0.94022259094821,77,3,1,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"8",1.06465620206696,0.0969111167769423,0.00426274499405334,0.062457067255523,0.11791551882461,0.969715509840538,6,14,1,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"9",1.06465620206696,0.0969111167769423,0.983209931625347,0.31340336715807,0.0164462809917355,0.94978224672362,79,3,1,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"10",1.06465620206696,0.0969111167769423,0.0062368283776988,0.0921540918181736,0.115858585858586,0.969980217452252,5,13,1,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"11",1.15641078439651,0.097806092788326,1.05969415318759,0.33052387232845,0.0169054178145087,0.936318001999571,74.5,2.5,4,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"12",1.15641078439651,0.097806092788326,0.00652783218062988,0.0760538765046532,0.119926538108356,0.969295376408867,6,14,4,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"13",1.15641078439651,0.097806092788326,1.05008922019538,0.31979292928182,0.017860422405877,0.940075708684756,60.5,3,4,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"14",1.15641078439651,0.097806092788326,0.00604417604633164,0.0930206850492559,0.118650137741047,0.96965996819031,6,14,4,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"15",1.15641078439651,0.097806092788326,1.0623291117927,0.317946963583261,0.0177594123048668,0.942924403445251,71,3,4,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"16",1.15641078439651,0.097806092788326,0.00519742324607182,0.0619122440192674,0.118558310376492,0.969008962103018,6,13,4,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"17",1.15641078439651,0.097806092788326,1.04009513449094,0.315368193411993,0.0164921946740129,0.94288208261996,79,3,4,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"18",1.15641078439651,0.097806092788326,0.00576303905846745,0.0720052221694562,0.118714416896235,0.969691642520253,6,14,4,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"19",1.15641078439651,0.097806092788326,1.06373180817444,0.311630538268402,0.0169421487603306,0.935849389713301,63.5,3,4,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"20",1.15641078439651,0.097806092788326,0.00570178955798309,0.0933674526483046,0.118337924701561,0.969320901186811,5,13,4,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"21",0.781802873202828,0.100515652988412,0.539495203478168,0.23780097486165,0.0174747474747475,0.959445491367066,62.5,3,7,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"22",0.781802873202828,0.100515652988412,0.0030254436178214,0.0812675426214939,0.112883379247016,0.968362612329354,6,13,7,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"23",0.781802873202828,0.100515652988412,0.530281950240509,0.249762839799501,0.0175757575757576,0.961687188459962,49,3,7,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"24",0.781802873202828,0.100515652988412,0.00229688448352426,0.0661345941038932,0.111873278236915,0.970240780298284,6,13,7,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"25",0.781802873202828,0.100515652988412,0.521696555632269,0.237120178353397,0.0178696051423324,0.955920735789813,57,3,7,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"26",0.781802873202828,0.100515652988412,0.00311245868554387,0.0706039544194061,0.111698806244261,0.970496808658539,6,13,7,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"27",0.781802873202828,0.100515652988412,0.531786698695529,0.261838177112521,0.0174012855831038,0.957367980402499,58,3,7,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"28",0.781802873202828,0.100515652988412,0.00252177537046932,0.0959914225820472,0.112405876951332,0.971135846948204,5,13,7,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"29",0.781802873202828,0.100515652988412,0.450286067757703,0.238585863562903,0.0179247015610652,0.954740521965695,52,3,7,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"30",0.781802873202828,0.100515652988412,0.00249437945799448,0.0801671764288871,0.110670339761249,0.969317422776347,6,13,7,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"31",0.971568205471387,0.10136778404514,0.812798180177482,0.324116822897495,0.0169329660238751,0.947216788061344,73,3,10,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"32",0.971568205471387,0.10136778404514,0.00341296824061652,0.0918266132131152,0.114242424242424,0.968256795975729,6,13,10,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"33",0.971568205471387,0.10136778404514,0.730405746116377,0.324107665659674,0.0178971533516988,0.943792463616784,59,3,10,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"34",0.971568205471387,0.10136778404514,0.0039139051897748,0.0935524339207073,0.114517906336088,0.971070776796445,6,13,10,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"35",0.971568205471387,0.10136778404514,0.693074052540564,0.313337004347581,0.0176951331496786,0.942467932141436,53,3,10,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"36",0.971568205471387,0.10136778404514,0.00434559973918347,0.0768563074607927,0.11475665748393,0.969677871172678,6,13,10,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"37",0.971568205471387,0.10136778404514,0.835358346956368,0.294189958205208,0.0157208448117539,0.942013621304449,83,3,10,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"38",0.971568205471387,0.10136778404514,0.00332599430160886,0.0918319563010096,0.115601469237833,0.970953381816287,6,13,10,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"39",0.971568205471387,0.10136778404514,0.797091897987716,0.302174426445011,0.0181175390266299,0.942251112635165,57.5,3,10,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"40",0.971568205471387,0.10136778404514,0.00346017791396091,0.108116110227839,0.111561065197429,0.970213348840545,6,13,10,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"41",1.00234189865259,0.0948943583872805,0.886738681473378,0.314839668197019,0.0168135904499541,0.951311078317424,70,3,13,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"42",1.00234189865259,0.0948943583872805,0.00465500713190891,0.0945620641685114,0.116547291092746,0.970772565009543,6,13,13,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"43",1.00234189865259,0.0948943583872805,0.894423457536156,0.298224324250488,0.0165197428833792,0.957792517703004,68,3,13,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"44",1.00234189865259,0.0948943583872805,0.00445976417293706,0.107326382700061,0.114444444444444,0.968169251408846,6,13,13,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"45",1.00234189865259,0.0948943583872805,0.902936778604642,0.296367959987208,0.0155739210284665,0.951377952531918,82,2,13,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"46",1.00234189865259,0.0948943583872805,0.00359682475637265,0.0943858617434638,0.116629935720845,0.966962363887439,6,13,13,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"47",1.00234189865259,0.0948943583872805,0.909241485508727,0.300408736825829,0.0154361799816345,0.935048462042337,86,3,13,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"48",1.00234189865259,0.0948943583872805,0.00418533882059753,0.0863845711768123,0.115665748393021,0.968965197773282,6,13,13,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"49",1.00234189865259,0.0948943583872805,0.880815119721689,0.314782163156619,0.0171349862258953,0.952239751766396,71.5,3,13,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"50",1.00234189865259,0.0948943583872805,0.00448820527409351,0.0784330005262191,0.116427915518825,0.968441954611482,6,13,13,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"51",1.20610306919951,0.0961504756869789,1.0494089183418,0.346994720388868,0.0180532598714417,0.923175298523092,58,3,16,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"52",1.20610306919951,0.0961504756869789,0.00660246993312906,0.0628102453643021,0.118209366391185,0.968927905251879,6,13,16,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"53",1.20610306919951,0.0961504756869789,1.13255926780542,0.306871911993018,0.0165197428833792,0.928956968563199,88,2,16,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"54",1.20610306919951,0.0961504756869789,0.00593561859808466,0.0944011537342556,0.118135904499541,0.971428453226558,6,14,16,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"55",1.20610306919951,0.0961504756869789,1.10615878950201,0.337782570170059,0.017979797979798,0.927150493141289,60,3,16,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"56",1.20610306919951,0.0961504756869789,0.00477644851603536,0.0851047055040191,0.118292011019284,0.967017971632072,6,13,16,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"57",1.20610306919951,0.0961504756869789,1.11745022623453,0.353249856396901,0.016455463728191,0.931000441277674,74,3,16,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"58",1.20610306919951,0.0961504756869789,0.00565237092413491,0.0705481629349662,0.11831955922865,0.968798131052472,6,13,16,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"59",1.20610306919951,0.0961504756869789,1.0087721222629,0.372700593552773,0.0177502295684114,0.918723349249427,61,3,16,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"60",1.20610306919951,0.0961504756869789,0.0068384435656777,0.110744527695223,0.117640036730946,0.968696956738365,6,13,16,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"61",0.823465088503351,0.097786677964375,0.715516779910893,0.289294129250653,0.0169054178145087,0.960823671858255,64.5,3,19,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"62",0.823465088503351,0.097786677964375,0.00348255860524521,0.078080129510463,0.114361799816345,0.971383133229255,5.5,13,19,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"63",0.823465088503351,0.097786677964375,0.659537943160365,0.265036455878765,0.0177502295684114,0.95898812183514,48,3,19,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"64",0.823465088503351,0.097786677964375,0.00346338312827958,0.069869208015446,0.113801652892562,0.97146316558418,6,13,19,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"65",0.823465088503351,0.097786677964375,0.685747691885885,0.268678494615415,0.0169421487603306,0.96362457417024,65,3,19,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"66",0.823465088503351,0.097786677964375,0.0040341424498835,0.0736311219731073,0.114921946740129,0.970284747445622,6,13,19,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"67",0.823465088503351,0.097786677964375,0.703208798819058,0.248246508051049,0.0168778696051423,0.965020518256527,70,3,19,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"68",0.823465088503351,0.097786677964375,0.00369064239483976,0.0669676611706801,0.113700642791552,0.968715889158956,6,13,19,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"69",0.823465088503351,0.097786677964375,0.67931124087181,0.269288868968122,0.0160422405876951,0.963639796760674,67.5,3,19,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"70",0.823465088503351,0.097786677964375,0.00304577712025757,0.0797350407263428,0.114563820018365,0.971898687316127,6,13,19,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"71",0.964259865481148,0.100284105483164,0.647952494958544,0.29292204577714,0.0191919191919192,0.952267380882658,51.5,3,22,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"72",0.964259865481148,0.100284105483164,0.00381988112159339,0.0744754596946792,0.112984389348026,0.972444028675131,6,13,22,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"73",0.964259865481148,0.100284105483164,0.737693453797183,0.303783412159792,0.0175665748393021,0.946748276855612,69,3,22,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"74",0.964259865481148,0.100284105483164,0.0032276215240456,0.067847762022555,0.113856749311295,0.96915808089366,6,13,22,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"75",0.964259865481148,0.100284105483164,0.715585407824937,0.303917039958509,0.0183011937557392,0.951284263163587,50,3,22,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"76",0.964259865481148,0.100284105483164,0.00310398299962559,0.0816958133556381,0.114527089072544,0.970815490125516,6,13,22,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"77",0.964259865481148,0.100284105483164,0.667711928471464,0.306025139791861,0.019623507805326,0.950294487875594,51,3,22,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"78",0.964259865481148,0.100284105483164,0.0041551929626001,0.100068594465935,0.115179063360882,0.972972923473106,6,13,22,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"79",0.964259865481148,0.100284105483164,0.779849376609368,0.300198215157537,0.0168870523415978,0.952110179106376,70,3,22,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"80",0.964259865481148,0.100284105483164,0.0027792976342891,0.0696573432831316,0.115555555555556,0.970403936828871,6,13,22,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"81",1.16003132082187,0.0980712586872069,0.992164030677272,0.345532719237775,0.0184297520661157,0.944437972095371,64,3,25,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"82",1.16003132082187,0.0980712586872069,0.00576244844957917,0.103780652730603,0.1178145087236,0.969477116609874,6,13,25,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"83",1.16003132082187,0.0980712586872069,1.04477150819163,0.340826178735897,0.0174104683195592,0.941358449309189,69.5,3,25,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"84",1.16003132082187,0.0980712586872069,0.00387079860057716,0.0711924982170052,0.117869605142332,0.96930953778106,6,13,25,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"85",1.16003132082187,0.0980712586872069,1.01754928607837,0.310856935293521,0.018099173553719,0.944122062252034,68.5,3,25,3,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"86",1.16003132082187,0.0980712586872069,0.00528718254762857,0.0808669356788711,0.116694214876033,0.96880433865244,5.5,13,25,3,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"87",1.16003132082187,0.0980712586872069,0.928057548379094,0.359174040968503,0.0184113865932048,0.943372836428149,54,3,25,4,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"88",1.16003132082187,0.0980712586872069,0.00655306325198845,0.0740608060419032,0.117704315886134,0.970344194943488,6,14,25,4,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"89",1.16003132082187,0.0980712586872069,1.00529187301449,0.338535340068794,0.0174747474747475,0.930245509360351,66,3,25,5,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"90",1.16003132082187,0.0980712586872069,0.00502020160928424,0.0956738502051039,0.116501377410468,0.96897471786739,6,13,25,5,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"91",0.922422240743061,0.0993669399424061,0.752675357120645,0.278836923381627,0.0181083562901745,0.945799178036612,60,3,28,1,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"92",0.922422240743061,0.0993669399424061,0.00373988466551416,0.0727834744633302,0.112148760330579,0.970573738245311,6,13,28,1,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
"93",0.922422240743061,0.0993669399424061,0.777714101037827,0.293776976084482,0.0174104683195592,0.946867056115962,62,3,28,2,0.3,0.3,0.1,0,0.1,0.05,0.03,1
"94",0.922422240743061,0.0993669399424061,0.00316450728313141,0.095308069021935,0.115436179981635,0.970568099327147,5,13,28,2,0.3,0.3,0.1,0.1,0.1,0.05,0.03,1
