"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","cond","rep_no","b1","b2","b3","alienate","r0","r1","r2","select","s0","s1"
"1",1.12044255694182,0.0950474142291856,0.20318194712962,0.112503173522868,0.0400183654729109,0.747980539242462,29.9278936262793,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,0.1,0.01
"2",1.12044255694182,0.0950474142291856,0.208600534160485,0.104009693297553,0.0368778696051423,0.754202211310049,31.7126614914947,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,0.1,0.03
"3",1.12044255694182,0.0950474142291856,0.226667141406278,0.109959479283378,0.0381083562901745,0.760629755026363,30.5469211730291,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,0.1,0.05
"4",1.12044255694182,0.0950474142291856,0.332684200780787,0.626995003864987,0.0494949494949495,0.961110232269868,18.6912029507697,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,1,0.01
"5",1.12044255694182,0.0950474142291856,0.325706199978381,0.559276808806729,0.050514233241506,0.951819259519478,19.5187371171214,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,1,0.03
"6",1.12044255694182,0.0950474142291856,0.308778798024173,0.53926316029507,0.0502662993572085,0.930040236946109,19.5779672587908,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,1,0.05
"7",1.12044255694182,0.0950474142291856,0.390472394960993,1.53440693689722,0.0519742883379247,0.987446231388273,18.102656843653,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,10,0.01
"8",1.12044255694182,0.0950474142291856,0.222311200140046,2.26919647833122,0.0516161616161616,0.971836699084449,17.1950680463195,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,10,0.03
"9",1.12044255694182,0.0950474142291856,0.366856515672452,2.21364632542546,0.0503856749311295,0.952276629081251,18.9440177037885,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,10,0.05
"10",1.12044255694182,0.0950474142291856,0.211692506361559,0.263481750509268,0.0181359044995409,0.568766039623533,56.647244170846,1,1,0,0.3,0.1,1,0.01,1,0.06,1,0.1,0.01
"11",1.12044255694182,0.0950474142291856,0.0614588157787036,0.225907668298952,0.0181634527089073,0.574064990065685,56.9640518037763,1,1,0,0.3,0.1,1,0.01,1,0.06,1,0.1,0.03
"12",1.12044255694182,0.0950474142291856,0.25260297197872,0.237991883336886,0.0181175390266299,0.584739826842588,57.1967942528108,1,1,0,0.3,0.1,1,0.01,1,0.06,1,0.1,0.05
"13",1.12044255694182,0.0950474142291856,0.283365897846882,0.665235058893894,0.0219651056014692,0.91517833189153,48.3082271413489,1,1,0,0.3,0.1,1,0.01,1,0.06,1,1,0.01
"14",1.12044255694182,0.0950474142291856,0.260485925963453,0.649612326995344,0.021386593204775,0.915516581213186,51.3122461331651,1,1,0,0.3,0.1,1,0.01,1,0.06,1,1,0.03
"15",1.12044255694182,0.0950474142291856,0.309558453921262,0.653310797069037,0.0225528007346189,0.885850969975023,47.7996550319038,1,1,0,0.3,0.1,1,0.01,1,0.06,1,1,0.05
"16",1.12044255694182,0.0950474142291856,0.380558679948781,1.60866492690735,0.0264921946740129,0.983338068818218,46.0534904697863,1,1,0,0.3,0.1,1,0.01,1,0.06,1,10,0.01
"17",1.12044255694182,0.0950474142291856,0.340007307677402,1.70583140106321,0.0251790633608815,0.967632932665196,44.0111908460438,1,1,0,0.3,0.1,1,0.01,1,0.06,1,10,0.03
"18",1.12044255694182,0.0950474142291856,0.448483232253927,2.07226850194022,0.02544536271809,0.951610736423844,46.5497114246487,1,1,0,0.3,0.1,1,0.01,1,0.06,1,10,0.05
"19",1.12044255694182,0.0950474142291856,0.522266191401088,0.67582329151033,0.0102387511478421,0.483087768712769,75.0504786631194,1,1,0,0.3,0.1,1,0.01,10,0.06,1,0.1,0.01
"20",1.12044255694182,0.0950474142291856,0.620033865766556,0.783978099999952,0.0105968778696051,0.478578065453065,71.0655341037903,1,1,0,0.3,0.1,1,0.01,10,0.06,1,0.1,0.03
"21",1.12044255694182,0.0950474142291856,0.372049667500327,0.635855207165953,0.0106060606060606,0.499594547752442,72.4770652543505,1,1,0,0.3,0.1,1,0.01,10,0.06,1,0.1,0.05
"22",1.12044255694182,0.0950474142291856,0.412019712822088,0.903052723414678,0.010514233241506,0.895809183506552,72.9805919483693,1,1,0,0.3,0.1,1,0.01,10,0.06,1,1,0.01
"23",1.12044255694182,0.0950474142291856,0.719677084619816,0.880746701481633,0.0100918273645546,0.882271194219724,75.0068900516567,1,1,0,0.3,0.1,1,0.01,10,0.06,1,1,0.03
"24",1.12044255694182,0.0950474142291856,0.507723261574943,0.894721994788687,0.0101744719926538,0.871323028823029,77.5981006728753,1,1,0,0.3,0.1,1,0.01,10,0.06,1,1,0.05
"25",1.12044255694182,0.0950474142291856,0.391395680939859,1.50109430859624,0.0109182736455464,0.980613425925926,69.8991764750171,1,1,0,0.3,0.1,1,0.01,10,0.06,1,10,0.01
"26",1.12044255694182,0.0950474142291856,0.520404483547689,1.56781890370053,0.0107346189164371,0.954686093633462,70.036564049736,1,1,0,0.3,0.1,1,0.01,10,0.06,1,10,0.03
"27",1.12044255694182,0.0950474142291856,0.506667563531201,1.83634178287995,0.010514233241506,0.936817218728983,74.0708811806285,1,1,0,0.3,0.1,1,0.01,10,0.06,1,10,0.05
"28",1.12044255694182,0.0950474142291856,0.0552803286524688,0.139921618647125,0.0478879706152433,0.79343021148731,21.3246977458877,1,1,0,0.3,0.1,1,0.03,0.1,0.06,1,0.1,0.01
