"","varbtwn_0","varwin_0","varbtwn_100","varwin_100","varbtwn_200","varwin_200","varbtwn_300","varwin_300","turnover","carriers","sim_no","socialize","b0","b1","b2","b3","eps_soc","alienate","r0","r1","r2","select","s0","s1","eps_hire"
"80",1.18577132423668,0.0107649265687905,0.00226046836279033,0.0729843549691314,0.00265290478234554,0.0767942453082865,0.00247145117965218,0.0778520968442628,0.0298301956441491,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,0.1,0.01,0.1
"81",0.611622783981259,1.06135772223484,0.00255136100154808,0.0764897877517803,0.00300931538498593,0.0850040078853208,0.00376635249421644,0.0826515795934722,0.030391288298265,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,1,0.01,0
"82",1.06497953235604,1.00865741506976,0.00342689169149078,0.0818515194919382,0.00219659702425508,0.088658223394187,0.00312171833601737,0.0871563516545392,0.0299963086009598,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,1,0.01,0.1
"83",3.41152340438886,101.787417903338,0.00278779202676688,0.105613584461433,0.00365657287044061,0.109270011505933,0.00589640742948173,0.213014420312181,0.0305057216685124,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,10,0.01,0
"84",4.80837561974411,105.729482630395,0.00534450814100346,0.166288751573873,0.00578080884528873,0.148041338788443,0.00410373193550715,0.110668596846245,0.030609080841639,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,10,0.01,0.1
"85",4.55497757685386,94.8946909639504,3.89808234788613,97.2830814730826,2.59110206124001,98.5330538500404,3.57856736267148,96.3303618061112,0.0293244739756368,NA,2,0,0,0,0,0,0,0,0.03,0,0,0,10,0.01,10
"86",1.51432261479942,0.00880592207875431,0.0149403818353949,0.189833418368946,0.00184189098618274,0.0154114006293537,0.00101302434942606,0.00853346897083708,0.0300184569952012,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,0.1,0.01,0
"87",1.61789863832604,0.0100994592703758,0.0825339769767226,0.330906647101338,0.0029057888540835,0.0342548881638732,0.00039725944773192,0.0071326935892691,0.0303100775193798,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,0.1,0.01,0.1
"88",0.961742782213633,1.03489193942122,0.167522491084713,0.974112807293001,0.104892553248456,0.74252396303052,0.131587744595103,0.631657877439011,0.0300295311923219,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,1,0.01,0
"89",1.36956882377102,0.975504491538589,0.110781748118958,1.18597576563545,0.161489411828255,0.796543323073617,0.13472035917197,0.629805953501821,0.0294204503506829,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,1,0.01,0.1
"90",5.31425530927139,96.017229064563,10.6059501526261,62.7551182991276,6.82111840797929,55.823783987713,10.0121123591751,45.8115693736703,0.0303986710963455,NA,2,0,0,0,0,0,0,0,0.03,0,0,1,10,0.01,0
