"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","alienate","r0","r1","r2","select","s0","s1"
"1",1.16537147231823,0.0998193098155639,1.1563781376144,0.0985642924616174,0.0100367309458219,0,64,1,1,1,0,0.3,0.1,0,0.01,NA,NA,1,0.1,1
"2",1.16537147231823,0.0998193098155639,1.16608372475455,0.844126321114568,0.0102387511478421,0,66,2,1,1,0,0.3,0.1,0,0.01,NA,NA,1,1,1
"3",1.16537147231823,0.0998193098155639,1.38874679329017,8.43566115234747,0.0102938475665748,0,64,1.5,1,1,0,0.3,0.1,0,0.01,NA,NA,1,10,1
"4",1.16537147231823,0.0998193098155639,0.777107336243754,0.867927226513213,0.0297979797979798,0,22,2,1,1,0,0.3,0.1,0,0.03,NA,NA,1,0.1,1
"5",1.16537147231823,0.0998193098155639,0.789820727275432,1.17583453604765,0.0293939393939394,0,22,1,1,1,0,0.3,0.1,0,0.03,NA,NA,1,1,1
"6",1.16537147231823,0.0998193098155639,2.51725858207594,9.62332358619801,0.0299449035812672,0,22,1,1,1,0,0.3,0.1,0,0.03,NA,NA,1,10,1
"7",1.16537147231823,0.0998193098155639,0.0279637487799037,0.307868120461336,0.0496969696969697,0,13,1,1,1,0,0.3,0.1,0,0.05,NA,NA,1,0.1,1
"8",1.16537147231823,0.0998193098155639,0.244962862845717,1.04685693111371,0.0506795224977043,0,13,1,1,1,0,0.3,0.1,0,0.05,NA,NA,1,1,1
"9",1.16537147231823,0.0998193098155639,2.33892737289301,10.0268239181015,0.0504775022956841,0,13,1,1,1,0,0.3,0.1,0,0.05,NA,NA,1,10,1
"10",1.16537147231823,0.0998193098155639,1.13941028765728,0.632399512310243,0.0218916437098255,0,23,1,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,0.1,1
"11",1.16537147231823,0.0998193098155639,0.521314046511358,1.14260822988947,0.0408172635445363,0,12,1,1,1,0,0.3,0.1,1,0.01,0.1,0.06,1,1,1
