"","varbtwn_start","varwin_start","varbtwn_end","varwin_end","turnover","carriers","tenure_end","emps_end","cond","rep_no","b1","b2","b3","r0","r1","r2","s0","s1"
"1",1.06465620206696,0.0969111167769423,1.10714339912505,0.404620235489577,0.0566574839302112,0,11,2,1,1,0.3,0.3,0.1,0.03,0.1,0.05,1,1
"2",1.06465620206696,0.0969111167769423,1.05151199609477,0.382771989489379,0.0477961432506887,0,15,2,1,1,0.3,0.3,0.1,0.03,0.2,0.05,1,1
"3",1.06465620206696,0.0969111167769423,1.0900396078115,0.388791657519941,0.0409182736455464,0,15,1,1,1,0.3,0.3,0.1,0.03,0.3,0.05,1,1
"4",1.06465620206696,0.0969111167769423,1.06752843590489,0.340029759689169,0.038613406795225,0,18,1,1,1,0.3,0.3,0.1,0.03,0.4,0.05,1,1
"5",1.06465620206696,0.0969111167769423,1.06274128620205,0.337065347107275,0.0363452708907254,0,19,2,1,1,0.3,0.3,0.1,0.03,0.5,0.05,1,1
"6",1.06465620206696,0.0969111167769423,1.07690664525271,0.39695650368945,0.0353443526170799,0,18,1,1,1,0.3,0.3,0.1,0.03,0.6,0.05,1,1
"7",1.06465620206696,0.0969111167769423,1.02360927279532,0.389358586004578,0.0337190082644628,0,18.5,1,1,1,0.3,0.3,0.1,0.03,0.7,0.05,1,1
"8",1.06465620206696,0.0969111167769423,1.05318720866659,0.367944173834869,0.0326721763085399,0,21,1.5,1,1,0.3,0.3,0.1,0.03,0.8,0.05,1,1
"9",1.06465620206696,0.0969111167769423,1.03824867626776,0.367905336406085,0.0319742883379247,0,25,1,1,1,0.3,0.3,0.1,0.03,0.9,0.05,1,1
"10",1.06465620206696,0.0969111167769423,1.05502255398599,0.353514309227076,0.0321946740128558,0,19.5,2,1,1,0.3,0.3,0.1,0.03,1,0.05,1,1
"11",1.06465620206696,0.0969111167769423,1.0565306980071,0.388185080743782,0.0314141414141414,0,20,1,1,1,0.3,0.3,0.1,0.03,1.1,0.05,1,1
"12",1.06465620206696,0.0969111167769423,1.07073185744839,0.371544081041849,0.0308631772268136,0,20,1,1,1,0.3,0.3,0.1,0.03,1.2,0.05,1,1
"13",1.06465620206696,0.0969111167769423,1.06632561558074,0.3604214131521,0.0311753902662994,0,20,2,1,1,0.3,0.3,0.1,0.03,1.3,0.05,1,1
"14",1.06465620206696,0.0969111167769423,1.09933781051651,0.363865720788519,0.0303581267217631,0,24,1,1,1,0.3,0.3,0.1,0.03,1.4,0.05,1,1
"15",1.06465620206696,0.0969111167769423,1.07220140005775,0.388574792317807,0.0313039485766759,0,20,1,1,1,0.3,0.3,0.1,0.03,1.5,0.05,1,1
"16",1.06465620206696,0.0969111167769423,1.08995071018644,0.376310138200554,0.031147842056933,0,21,2,1,1,0.3,0.3,0.1,0.03,1.6,0.05,1,1
"17",1.06465620206696,0.0969111167769423,1.04331240637117,0.347627823268393,0.0309366391184573,0,22,1,1,1,0.3,0.3,0.1,0.03,1.7,0.05,1,1
"18",1.06465620206696,0.0969111167769423,1.04902079404044,0.368888722862419,0.0306703397612489,0,22,1,1,1,0.3,0.3,0.1,0.03,1.8,0.05,1,1
"19",1.06465620206696,0.0969111167769423,1.07426407939649,0.385790811613338,0.0311019283746556,0,20,2,1,1,0.3,0.3,0.1,0.03,1.9,0.05,1,1
"20",1.06465620206696,0.0969111167769423,1.10406013028166,0.354121731660086,0.0304591368227732,0,23,1,1,1,0.3,0.3,0.1,0.03,2,0.05,1,1
"21",1.06465620206696,0.0969111167769423,1.03944642035256,0.409696195748393,0.0569054178145087,0,11.5,1,1,2,0.3,0.3,0.1,0.03,0.1,0.05,1,1
"22",1.06465620206696,0.0969111167769423,1.08371636415276,0.369895858837464,0.0473553719008264,0,13,1,1,2,0.3,0.3,0.1,0.03,0.2,0.05,1,1
"23",1.06465620206696,0.0969111167769423,1.08148224755113,0.364618342669479,0.0419191919191919,0,16,1,1,2,0.3,0.3,0.1,0.03,0.3,0.05,1,1
"24",1.06465620206696,0.0969111167769423,1.04526978832234,0.375126083937659,0.037208448117539,0,18,1.5,1,2,0.3,0.3,0.1,0.03,0.4,0.05,1,1
"25",1.06465620206696,0.0969111167769423,1.04923663186977,0.37586998290726,0.0360422405876951,0,17,2,1,2,0.3,0.3,0.1,0.03,0.5,0.05,1,1
